text,label
DOHOME รายได้ขายเพิ่ม! ดันกำไร Q2 โต 46% แตะ 436 ล้านบาท,<SYMBOL> DOHOME <ASPECT> รายได้ <OPINION> เพิ่ม <POS>
DOHOME รายได้ขายเพิ่ม! ดันกำไร Q2 โต 46% แตะ 436 ล้านบาท,<SYMBOL> DOHOME <ASPECT> กำไร <OPINION> โต <POS>
MGT รายได้ขายพุ่ง ดันกำไร Q2 โต 34% แตะ 28 ล้าน เคาะปันผล 0.03 บาท,<SYMBOL> MGT <ASPECT> รายได้ <OPINION> พุ่ง <POS>
MGT รายได้ขายพุ่ง ดันกำไร Q2 โต 34% แตะ 28 ล้าน เคาะปันผล 0.03 บาท,<SYMBOL> MGT <ASPECT> กำไร <OPINION> โต <POS>
QH รายได้ขายอสังหาฯหด! กดกำไรไตรมาส 2 เหลือ 620 ล้านบาท,<SYMBOL> QH <ASPECT> รายได้ <OPINION> หด <NEG>
QH รายได้ขายอสังหาฯหด! กดกำไรไตรมาส 2 เหลือ 620 ล้านบาท,<SYMBOL> QH <ASPECT> กำไร <OPINION> กด <NEG>
MTC สินเชื่อพุ่ง-ตั้งสำรองลด ดันกำไร Q2 โต 20% แตะ 1.4 พันล้านบาท,<SYMBOL> MTC <ASPECT> สินเชื่อ <OPINION> พุ่ง <POS>
MTC สินเชื่อพุ่ง-ตั้งสำรองลด ดันกำไร Q2 โต 20% แตะ 1.4 พันล้านบาท,<SYMBOL> MTC <ASPECT> ตั้งสำรอง <OPINION> ลด <POS>
MTC สินเชื่อพุ่ง-ตั้งสำรองลด ดันกำไร Q2 โต 20% แตะ 1.4 พันล้านบาท,<SYMBOL> MTC <ASPECT> กำไร <OPINION> ดัน <POS>
MTC สินเชื่อพุ่ง-ตั้งสำรองลด ดันกำไร Q2 โต 20% แตะ 1.4 พันล้านบาท,<SYMBOL> MTC <ASPECT> Q2 <OPINION> โต <POS>
ADVANC กำไร Q2 พุ่ง 8.5 พันล้าน รับ ARPU เพิ่ม ดันรายได้มือถือแตะ 3 หมื่นล้าน,<SYMBOL> ADVANC <ASPECT> กำไร <OPINION> พุ่ง <POS>
ADVANC กำไร Q2 พุ่ง 8.5 พันล้าน รับ ARPU เพิ่ม ดันรายได้มือถือแตะ 3 หมื่นล้าน,<SYMBOL> ADVANC <ASPECT> รายได้ <OPINION> ดัน <POS>
TCAP วิ่ง 4% รับกำไร Q2 โตเกินคาด โบรกแนะ “ซื้อ” เป้า 57 บาท,<SYMBOL> TCAP <ASPECT> ราคาหุ้น <OPINION> วิ่ง <POS>
TCAP วิ่ง 4% รับกำไร Q2 โตเกินคาด โบรกแนะ “ซื้อ” เป้า 57 บาท,<SYMBOL> TCAP <ASPECT> กำไร <OPINION> โตเกินคาด <POS>
TCAP วิ่ง 4% รับกำไร Q2 โตเกินคาด โบรกแนะ “ซื้อ” เป้า 57 บาท,<SYMBOL> TCAP <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
อู้ฟู่! ITC ขาย “อาหารสัตว์” ดันกำไร Q2 ทะลุพันล้าน โตทะลัก 126%,<SYMBOL> ITC <ASPECT> กำไร <OPINION> ดัน <POS>
อู้ฟู่! ITC ขาย “อาหารสัตว์” ดันกำไร Q2 ทะลุพันล้าน โตทะลัก 126%,<SYMBOL> ITC <ASPECT> กำไร <OPINION> โตทะลัก <POS>
PROUD ดีด 4% รับเข้าเทรด SET วันแรก! ตอกย้ำศักยภาพธุรกิจ พ่วง “แบ็กล็อก” ทะลุหมื่นล้าน,<SYMBOL> PROUD <ASPECT> ราคาหุ้น <OPINION> ดีด <POS>
PROUD ดีด 4% รับเข้าเทรด SET วันแรก! ตอกย้ำศักยภาพธุรกิจ พ่วง “แบ็กล็อก” ทะลุหมื่นล้าน,<SYMBOL> PROUD <ASPECT> ศักยภาพ <OPINION> ตอกย้ำ <POS>
PROUD ดีด 4% รับเข้าเทรด SET วันแรก! ตอกย้ำศักยภาพธุรกิจ พ่วง “แบ็กล็อก” ทะลุหมื่นล้าน,<SYMBOL> PROUD <ASPECT> แบ็กล็อก <OPINION> ทะลุ <POS>
TFM โชว์งบ Q2 กำไร “นิวไฮ” รอบ 15 ไตรมาส แตะ 129 ล้านบาท ลุ้น Q3 โตต่อ รับไฮซีซั่น,<SYMBOL> TFM <ASPECT> งบ <OPINION> โชว์ <POS>
TFM โชว์งบ Q2 กำไร “นิวไฮ” รอบ 15 ไตรมาส แตะ 129 ล้านบาท ลุ้น Q3 โตต่อ รับไฮซีซั่น,<SYMBOL> TFM <ASPECT> กำไร <OPINION> นิวไฮ <POS>
TFM โชว์งบ Q2 กำไร “นิวไฮ” รอบ 15 ไตรมาส แตะ 129 ล้านบาท ลุ้น Q3 โตต่อ รับไฮซีซั่น,<SYMBOL> TFM <ASPECT> Q3 <OPINION> โตต่อ <POS>
HANA โบรกแนะซื้อเป้า 50 บาท ลุ้นกำไรไตรมาส 2/67 โตแรง 55% รับออเดอร์พุ่ง,<SYMBOL> HANA <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
HANA โบรกแนะซื้อเป้า 50 บาท ลุ้นกำไรไตรมาส 2/67 โตแรง 55% รับออเดอร์พุ่ง,<SYMBOL> HANA <ASPECT> กำไร <OPINION> ลุ้น <POS>
HANA โบรกแนะซื้อเป้า 50 บาท ลุ้นกำไรไตรมาส 2/67 โตแรง 55% รับออเดอร์พุ่ง,<SYMBOL> HANA <ASPECT> กำไร <OPINION> โตแรง <POS>
HANA โบรกแนะซื้อเป้า 50 บาท ลุ้นกำไรไตรมาส 2/67 โตแรง 55% รับออเดอร์พุ่ง,<SYMBOL> HANA <ASPECT> ออเดอร์ <OPINION> พุ่ง <POS>
KBS ดีดบวก 23% รับแผนซื้อหุ้นคืน 15 ล้านหุ้น วงเงิน 60 ลบ.,<SYMBOL> KBS <ASPECT> ราคาหุ้น <OPINION> ดีดบวก <POS>
SAV บวก 4% โบรกเชียร์ “ซื้อ” เป้า 26 บาท รับกำไร Q2 โตกว่าคาด,<SYMBOL> SAV <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
SAV บวก 4% โบรกเชียร์ “ซื้อ” เป้า 26 บาท รับกำไร Q2 โตกว่าคาด,<SYMBOL> SAV <ASPECT> โบรกเชียร์ <OPINION> ซื้อ <POS>
SAV บวก 4% โบรกเชียร์ “ซื้อ” เป้า 26 บาท รับกำไร Q2 โตกว่าคาด,<SYMBOL> SAV <ASPECT> กำไร <OPINION> โตกว่าคาด <POS>
SUN วิ่ง 3% เก็งกำไรไตรมาส 2 สดใส ครึ่งปีหลังโตต่อรับ “ไฮซีซั่น”,<SYMBOL> SUN <ASPECT> ราคาหุ้น <OPINION> วิ่ง <POS>
SUN วิ่ง 3% เก็งกำไรไตรมาส 2 สดใส ครึ่งปีหลังโตต่อรับ “ไฮซีซั่น”,<SYMBOL> SUN <ASPECT> กำไร <OPINION> สดใส <POS>
SUN วิ่ง 3% เก็งกำไรไตรมาส 2 สดใส ครึ่งปีหลังโตต่อรับ “ไฮซีซั่น”,<SYMBOL> SUN <ASPECT> ครึ่งปีหลัง <OPINION> โตต่อ <POS>
DELTA ส่งซิกครึ่งปีหลังโตต่อ รับธุรกิจ “ดาต้าเซ็นเตอร์-อีวี” หนุนดีมานด์พุ่ง,<SYMBOL> DELTA <ASPECT> ครึ่งปีหลัง <OPINION> โตต่อ <POS>
DELTA ส่งซิกครึ่งปีหลังโตต่อ รับธุรกิจ “ดาต้าเซ็นเตอร์-อีวี” หนุนดีมานด์พุ่ง,<SYMBOL> DELTA <ASPECT> ดีมานด์ <OPINION> พุ่ง <POS>
PRTR โชว์กำไร Q2 โต 10% แตะ 57 ล้านบาท รับรู้ธุรกิจจัดจ้าง-สรรหาพนักงานหนุน,<SYMBOL> PRTR <ASPECT> กำไร <OPINION> โชว์ <POS>
PRTR โชว์กำไร Q2 โต 10% แตะ 57 ล้านบาท รับรู้ธุรกิจจัดจ้าง-สรรหาพนักงานหนุน,<SYMBOL> PRTR <ASPECT> Q2 <OPINION> โต <POS>
TCAP เปิดงบไตรมาส 2 กำไรเฉียด 2 พันล้านบาท รับเงินปันผลลงทุนเพิ่ม,<SYMBOL> TCAP <ASPECT> งบ <OPINION> กำไร <POS>
