text,label
BAFS รายได้การบินพุ่ง ดันงวด 9 เดือนพลิกกำไร 60 ล้านบาท,<SYMBOL> BAFS <ASPECT> รายได้ <OPINION> พุ่ง <POS>
BAFS รายได้การบินพุ่ง ดันงวด 9 เดือนพลิกกำไร 60 ล้านบาท,<SYMBOL> BAFS <ASPECT> งวด <OPINION> ดัน <POS>
BAFS รายได้การบินพุ่ง ดันงวด 9 เดือนพลิกกำไร 60 ล้านบาท,<SYMBOL> BAFS <ASPECT> พลิก <OPINION> กำไร <POS>
NOBLE เล็งเปิดตัว 2 โครงการท้ายปี มูลค่า 3.10 พันล้าน! หลังงบ 9 เดือนกำไรทะลัก 517%,<SYMBOL> NOBLE <ASPECT> กำไร <OPINION> ทะลัก <POS>
สรุปกระดานรายใหญ่เช้านี้ BGRIM มูลค่าสูงสุด 9 ล้านบาท,<SYMBOL> BGRIM <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
สรุป SET100 เช้านี้ KCE บวกสูงสุด 3%,<SYMBOL> KCE <OPINION> บวกสูงสุด <POS>
AS โชว์งบ Q3 โกยรายได้ 423 ลบ. ดันกำไรโต 22% แตะ 82 ล้าน แย้ม Q4 เด่นต่อ,<SYMBOL> AS <ASPECT> งบ <OPINION> โชว์ <POS>
AS โชว์งบ Q3 โกยรายได้ 423 ลบ. ดันกำไรโต 22% แตะ 82 ล้าน แย้ม Q4 เด่นต่อ,<SYMBOL> AS <ASPECT> รายได้ <OPINION> โกย <POS>
AS โชว์งบ Q3 โกยรายได้ 423 ลบ. ดันกำไรโต 22% แตะ 82 ล้าน แย้ม Q4 เด่นต่อ,<SYMBOL> AS <ASPECT> กำไร <OPINION> ดัน <POS>
AS โชว์งบ Q3 โกยรายได้ 423 ลบ. ดันกำไรโต 22% แตะ 82 ล้าน แย้ม Q4 เด่นต่อ,<SYMBOL> AS <ASPECT> กำไร <OPINION> โต <POS>
AS โชว์งบ Q3 โกยรายได้ 423 ลบ. ดันกำไรโต 22% แตะ 82 ล้าน แย้ม Q4 เด่นต่อ,<SYMBOL> AS <ASPECT> Q4 <OPINION> เด่นต่อ <POS>
"VGI โชว์รายได้ Q2 ทะลุพันล้าน มั่นใจปี 67 แตะ 5,500 ลบ.",<SYMBOL> VGI <ASPECT> รายได้ <OPINION> โชว์ <POS>
"VGI โชว์รายได้ Q2 ทะลุพันล้าน มั่นใจปี 67 แตะ 5,500 ลบ.",<SYMBOL> VGI <ASPECT> รายได้ <OPINION> ทะลุ <POS>
"VGI โชว์รายได้ Q2 ทะลุพันล้าน มั่นใจปี 67 แตะ 5,500 ลบ.",<SYMBOL> VGI <ASPECT> รายได้ <OPINION> มั่นใจ <POS>
COM7 ร่วง 13% เซ่นกำไร Q3 หดตัวแตะ 611 ล้านบาท หลังค่าใช้จ่ายพุ่ง,<SYMBOL> COM7 <OPINION> ร่วง <NEG>
COM7 ร่วง 13% เซ่นกำไร Q3 หดตัวแตะ 611 ล้านบาท หลังค่าใช้จ่ายพุ่ง,<SYMBOL> COM7 <ASPECT> กำไร <OPINION> หดตัว <NEG>
COM7 ร่วง 13% เซ่นกำไร Q3 หดตัวแตะ 611 ล้านบาท หลังค่าใช้จ่ายพุ่ง,<SYMBOL> COM7 <ASPECT> ค่าใช้จ่าย <OPINION> พุ่ง <NEG>
AGE โชว์กำไร Q3 แตะ 113 ล้าน เน้นคุมต้นทุน-รุกขยายธุรกิจโลจิสติกส์,<SYMBOL> AGE <ASPECT> กำไร <OPINION> โชว์ <POS>
AGE โชว์กำไร Q3 แตะ 113 ล้าน เน้นคุมต้นทุน-รุกขยายธุรกิจโลจิสติกส์,<SYMBOL> AGE <ASPECT> ต้นทุน <OPINION> คุม <POS>
AGE โชว์กำไร Q3 แตะ 113 ล้าน เน้นคุมต้นทุน-รุกขยายธุรกิจโลจิสติกส์,<SYMBOL> AGE <ASPECT> ธุรกิจ <OPINION> รุกขยาย <POS>
CH โกยรายได้ Q3 แตะ 516 ล้าน ส่งซิกโค้งท้ายปี ลุยขยายตลาดในประเทศ รับนโยบายฟรีวีซ่า,<SYMBOL> CH <ASPECT> รายได้ <OPINION> โกย <POS>
TNL รายได้พุ่ง! ดันกำไร Q3 โตทะลัก 6 เท่าตัว แตะ 271 ล้าน,<SYMBOL> TNL <ASPECT> รายได้ <OPINION> พุ่ง <POS>
TNL รายได้พุ่ง! ดันกำไร Q3 โตทะลัก 6 เท่าตัว แตะ 271 ล้าน,<SYMBOL> TNL <ASPECT> กำไร <OPINION> ดัน <POS>
TNL รายได้พุ่ง! ดันกำไร Q3 โตทะลัก 6 เท่าตัว แตะ 271 ล้าน,<SYMBOL> TNL <ASPECT> กำไร <OPINION> โตทะลัก <POS>
BGRIM ไตรมาส 3 พลิกกำไร 344 ล้าน ลุยขยาย “พลังงานทดแทน” เต็มสูบ,<SYMBOL> BGRIM <ASPECT> พลิก <OPINION> กำไร <POS>
EPG โกยยอดขาย Q2 ทะลุ 3.3 พันลบ. ดันกำไรแตะ 434 ล้าน,<SYMBOL> EPG <ASPECT> ยอดขาย <OPINION> โกย <POS>
EPG โกยยอดขาย Q2 ทะลุ 3.3 พันลบ. ดันกำไรแตะ 434 ล้าน,<SYMBOL> EPG <ASPECT> ยอดขาย <OPINION> ทะลุ <POS>
EPG โกยยอดขาย Q2 ทะลุ 3.3 พันลบ. ดันกำไรแตะ 434 ล้าน,<SYMBOL> EPG <ASPECT> กำไร <OPINION> ดัน <POS>
MENA บวก 4% โบรกแนะ “ซื้อ” เป้า 2.50 บ. ลุ้น Q4 โตต่อ รับขยายกองรถ-บริการขนส่งพุ่ง,<SYMBOL> MENA <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
MENA บวก 4% โบรกแนะ “ซื้อ” เป้า 2.50 บ. ลุ้น Q4 โตต่อ รับขยายกองรถ-บริการขนส่งพุ่ง,<SYMBOL> MENA <ASPECT> Q4 <OPINION> โตต่อ <POS>
MENA บวก 4% โบรกแนะ “ซื้อ” เป้า 2.50 บ. ลุ้น Q4 โตต่อ รับขยายกองรถ-บริการขนส่งพุ่ง,<SYMBOL> MENA <ASPECT> กองรถ <OPINION> ขยาย <POS>
MENA บวก 4% โบรกแนะ “ซื้อ” เป้า 2.50 บ. ลุ้น Q4 โตต่อ รับขยายกองรถ-บริการขนส่งพุ่ง,<SYMBOL> MENA <ASPECT> บริการขนส่ง <OPINION> พุ่ง <POS>
BEAUTY ส่งซิกไตรมาส 4 ไฮซีซั่น ลุยแคมเปญครบรอบ 16 ปี กระตุ้นยอดขาย,<SYMBOL> BEAUTY <ASPECT> แคมเปญ <OPINION> ลุย <POS>
BEAUTY ส่งซิกไตรมาส 4 ไฮซีซั่น ลุยแคมเปญครบรอบ 16 ปี กระตุ้นยอดขาย,<SYMBOL> BEAUTY <ASPECT> ยอดขาย <OPINION> กระตุ้น <POS>
TEGH กวาดรายได้ 9 เดือนทะลุ 9 พันล้าน กำไรแตะ 146 ล้าน ส่งซิก Q4 เด่นต่อ,<SYMBOL> TEGH <ASPECT> รายได้ <OPINION> ทะลุ <POS>
TEGH กวาดรายได้ 9 เดือนทะลุ 9 พันล้าน กำไรแตะ 146 ล้าน ส่งซิก Q4 เด่นต่อ,<SYMBOL> TEGH <ASPECT> กำไร <OPINION> แตะ <POS>
TEGH กวาดรายได้ 9 เดือนทะลุ 9 พันล้าน กำไรแตะ 146 ล้าน ส่งซิก Q4 เด่นต่อ,<SYMBOL> TEGH <ASPECT> Q4 <OPINION> เด่นต่อ <POS>
“กลุ่ม JMART” ลุ้นดีดกลับ! หลังงบ Q3 ฟื้นเด่น มั่นใจไตรมาส 4 โตต่อ,<SYMBOL> JMART <OPINION> ดีดกลับ <POS>
“กลุ่ม JMART” ลุ้นดีดกลับ! หลังงบ Q3 ฟื้นเด่น มั่นใจไตรมาส 4 โตต่อ,<SYMBOL> JMART <ASPECT> Q3 <OPINION> ฟื้นเด่น <POS>
“กลุ่ม JMART” ลุ้นดีดกลับ! หลังงบ Q3 ฟื้นเด่น มั่นใจไตรมาส 4 โตต่อ,<SYMBOL> JMART <ASPECT> ไตรมาส 4 <OPINION> โตต่อ <POS>
THAI พ้นแผนฟื้นฟู Q2/68 จ่อแปลงหนี้-เพิ่มทุน 8 หมื่นล้าน ปี 67,<SYMBOL> THAI <ASPECT> แผนฟื้นฟู <OPINION> พ้น <POS>
THAI พ้นแผนฟื้นฟู Q2/68 จ่อแปลงหนี้-เพิ่มทุน 8 หมื่นล้าน ปี 67,<SYMBOL> THAI <ASPECT> แปลงหนี้ <OPINION> จ่อ <POS>
THAI พ้นแผนฟื้นฟู Q2/68 จ่อแปลงหนี้-เพิ่มทุน 8 หมื่นล้าน ปี 67,<SYMBOL> THAI <ASPECT> ทุน <OPINION> เพิ่ม <POS>
SET สัปดาห์นี้ “ฟื้นตัว” จับตาเงินเฟ้อสหรัฐ ฟันด์โฟลว์-งบ Q3 ชู CRC-CPALL-GULF เด่น,<SYMBOL> CRC <ASPECT> งบ <OPINION> เด่น <POS>
SET สัปดาห์นี้ “ฟื้นตัว” จับตาเงินเฟ้อสหรัฐ ฟันด์โฟลว์-งบ Q3 ชู CRC-CPALL-GULF เด่น,<SYMBOL> CPALL <ASPECT> งบ <OPINION> เด่น <POS>
