Texts,Label
GWM เทลูกค้าที่ซื้อแล้วรถมีปัญหา,"[[""GWM"", ""neg"", ""เทลูกค้า""],[""รถ"", ""neg"", ""มีปัญหา""]]"
Segment นี้แบรนอื่นรับไฟที่ตู้ DC กันระดับ 120kW - 150 kW กันไปหมดแล้ว และเป็นรถที่คนส่วนใหญ่ใช้วิ่งทางไกลออกต่างจังหวัด สเปคชาร์จไฟช้าๆแบบนี้ความน่าสนใจลดลงไปมากพอสมควร เหมาะกับสายชิลล์จัดๆประมานว่าชาร์จทีนึงร่วม 1 ชม. ก็ยังรับได้,"[[""สเปคชาร์จไฟ"", ""neg"", [""ช้า"",""ความน่าสนใจลดลง""]]]"
Software บ้งเหมือนเดิม ไม่คิดจะแก้บ้างเลยหรอ GWM,"[[""Software"", ""neg"", ""บ้งเหมือนเดิม""], [""GWM"", ""neg"", ""ไม่คิดจะแก้บ้างเลยหรอ""]]"
supercarไฟฟ้าชัดๆๆเหลือราคาถ้าราคาดีน่าสน,"[[""รถ"", ""pos"", ""supercarไฟฟ้า""]]"
ข้างนอกสวย ข้างในอย่างเชยยย,"[[""ข้างนอก"", ""pos"", ""สวย""],[""ข้างใน"", ""neg"", ""เชยยย""]]"
ข้างนอกสวย แต่ไม่ค่อยชอบภายใน,"[[""ข้างนอก"", ""pos"", ""สวย""],[""ภายใน"", ""neg"", ""ไม่ค่อยชอบ""]]"
คันจริงสวยมากครับ ดูลงตัวดีครับ,"[[""คันจริง"", ""pos"", ""สวย""], [""คันจริง"", ""pos"", ""ลงตัว""]]"
ใครๆก็อาจจะมองว่าชอบรถคันนี้ดูสวยน่ารักดี  แต่สำหรับผม  ไม่ใช่เลย  เพราะผมเป็นคนไม่ชอบหนอนสีๆที่เกาะตามใบไม้ ต้นดอกไม้   ตามันเป็นแบบนี้เลย ไอ้ชิเมโจได๋อ่ะ  นั่นแหละ  มันดูแหยงๆ  ตามันโตๆ เอเลี่ยนๆ แบบนี้เลย  ... ไม่น่ามอง  แถมตาไฟแบบนี้ยังไปคล้ายกับตาไฟรถเบนซ์รุ่นเก่าๆที่ตกยุคไปแล้วด้วย รุ่นW210 อ่ะตาไปเอเลี่ยนแบบนี้เลย ไม่สวย ... ไม่พอ  ล้อแม็คที่บอกว่าเป็นลายตีนแมวอ่ะ  ผมมองไม่เหมือนตีนแมวเลย  ผมมองเห็นเป็นรูๆ อะไรไม่รู้ดูน่ากลัว  เหมือนอะมีบ้ามากกว่า  ไม่ชอบรูๆเลย  เอเลี่ยนอีกแล้ว .... สรุปแค่ภายนอก ก็ขัดสายตาผมแล้ว (แต่คนอื่นๆ หลายคนอาจจะชอบ),"[[""รถคันนี้"", ""neg"", ""ไม่ชอบ""], [""ตาไฟ"",""neg"",[""ตาหนอน"", ""ดูแหยงๆ"", ""เอเลี่ยน"", ""ไม่น่ามอง"", ""รถเบนซ์รุ่นเก่า"", ""ไม่สวย""]], [""ล้อแม็ค"", ""neg"", ""รูๆ"", ""น่ากลัว"", ""อะมีบ้า"", ""เอเลี่ยน""],[""ภายนอก"",""neg"",""ขัดสายตา""]]"
ช่องใส่มือถือเหมาะกับให้ฝุ่นลงไปสะสมมากเลยครับ,"[[""ช่องใส่มือถือ"", ""neg"", ""เหมาะกับให้ฝุ่นลงไปสะสมมาก""]]"
ชอบที่สุดคือหน้าปัดเรือนไมล์ ไม่แสบตาแน่ๆ ให้แสบตาแค่จอกลางพอแล้ว  ทรงนี้ดูสวยด้วยทรงสปอร์ตอะผมว่า ชอบๆ ระบบแอร์ก็ดีมีนอกจอให้ใช้ด้วย,"[[""หน้าปัดเรือนไมล์"", ""pos"", [""ชอบที่สุด"",""ไม่แสบตา""]], [""จอกลาง"", ""neg"", ""แสบตา""], [""ทรง"", ""pos"", [""สวย"",""ทรงสปอร์ต""]], [""ระบบแอร์"", ""pos"", ""ดี""]]"
